NO,Operator,Node_Status,Life,Asset,Province,Service_Center,Brand,NE_IP,NE_Name,NE_Type,Bandwidth,Used_Port,Free_Port,Total,Battery_life,Type,PON_Type,OLT_Slot,Platform,Name_Umbo,customer_Umbo,OLT_Twin,Procurement_OLT,Procurement_Battery_Li_On,Battery_Site,Asset_Battery,Check_Update_OLT
"3358","NT","Online","รอสอบถาม","null","เพชรบูรณ์","เพชรบูรณ์ 1","ZTE","10.229.85.161","PBN_NT2_HuaySaKae M.1_Outdoor (LR)","C320v2","10G","2","6","11","3 - 5 ปี","Outdoor","LR","2 Slot","-","OLT ห้วยสะแก ม.1","11","no","null","null","null","null","OLT ยังใช้"
"3359","24K","null","null","null","สุโขทัย","สุโขทัย 1","ZTE","10.223.168.26","sti-bnri-24kolt01(10.223.168.26)","C320v2","10G","3","5","11","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3360","24K","null","null","null","นครสวรรค์","ปากน้ำโพ","ZTE","10.223.162.105","nsn-nswt-24kolt01(10.223.162.105) Nakhon Sawan Tok","C320v2","10G","1","7","11","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3361","NT","Online","รอสอบถาม","null","พิษณุโลก","นครไทย","ZTE","10.229.12.234","PLK_NT2_BDG_bandong_10.229.12.234_Outdoor(ER)","C320v1.2","10G","2","6","11","1 - 2 ปี","Outdoor","ER","2 Slot","-","NT2_บ้านดง","6","no","2566","null","null","null","OLT ยังใช้"
"3362","NT","Online","รอสอบถาม","null","อุทัยธานี","หนองฉาง","Calix","10.152.120.130","NT1_ทัพหมัน","E7-2","10G","4","4","11","1 - 2 ปี","Outdoor","LR","2 Slot (Max 24 Port)","-","null","null","no","null","null","null","null","OLT ยังใช้"
"3363","NT","Online","รอสอบถาม","null","เพชรบูรณ์","หนองไผ่ 2","Broadwan","10.152.75.136","NT1_บ้านวังไผ่","P3608","10G","2","6","11","1 - 2 ปี","Outdoor","null","1 Slot (8 EPON)","-","null","null","no","null","null","null","null","OLT ยังใช้"
"3364","NT","Online","รอสอบถาม","null","เพชรบูรณ์","หนองไผ่ 2","Broadwan","10.152.62.131","NT1_Banphot","P3608","10G","3","5","11","1 - 2 ปี","Outdoor","LR","1 Slot (8 EPON)","-","null","null","no","null","null","null","null","OLT ยังใช้"
"3365","24K","null","null","null","กำแพงเพชร","ชากังราว","ZTE","10.223.157.32","kpt-ksn-24kolt01(10.223.157.32)","C320v2","10G","1","7","11","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3366","NT","Online","รอสอบถาม","null","กำแพงเพชร","คลองขลุง","Broadwan","10.152.98.134","Broadwan ปางตาไว(PTW)","P3608","10G","5","3","11","3 - 5 ปี","Outdoor","null","1 Slot (8 EPON)","-","null","null","no","null","null","null","null","OLT ยังใช้"
"3367","24K","null","null","null","พิจิตร","พิจิตร 1","ZTE","10.223.164.46","pct-wkdt-24kolt01(10.223.164.46)","C320v2","10G","1","7","11","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3368","BigRock","null","null","null","พิษณุโลก","พิษณุโลก 1","ZTE","10.223.165.141","plk-wbt-bigrock-olt03-BAN NOI(10.223.165.141)","C320v2","10G","2","6","11","3 - 5 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3369","NT","Online","รอสอบถาม","null","พิษณุโลก","วังทอง","Fiberhome","10.162.73.134","PLK_NT1_NONGPRA.10.162.73.134_Indoor(LR)","AN5516-04","10G","2","6","11","1 - 2 ปี","Indoor","LR","2 Slot","-","null","null","no","null","null","null","null","OLT ยังใช้"
"3370","BigRock","null","null","null","พะเยา","พะเยา 1","ZTE","10.223.167.113","pyo-ppl-bigrock-olt01(10.223.167.113)","C320v2","10G","1","7","11","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3371","NT","Online","รอสอบถาม","null","ตาก","null","ZTE","10.229.17.164","TAK_NT2_MRT_BanSamMuen_Indoor(LR)","C300","10G","2","6","11","1 - 2 ปี","Indoor","LR","15 Slot","-","OLT_NT_บ้านสามหมื่น","12","-","null","null","null","null","OLT ยังใช้"
"3372","NT","Online","รอสอบถาม","null","แม่ฮ่องสอน","ปาย 1","Fiberhome","10.162.124.130","MSN_NT1_Pai_KiwLom_กิ่วลม_GPON_1G_Indoor","AN5516-04","1G","2","6","11","9 ปีขึ้นไป","Indoor","LR","2 Slot","-","OLT_NT1_สถานีทวนสัญญาณดอยกิ่วลม ปางมะผ้า ms-klms-ol-f554-1","10","no","null","null","null","null","OLT ยังใช้"
"3373","24K","null","null","null","น่าน","ปัว","ZTE","10.223.161.37","nan-bnh-24kolt02(10.223.161.37)","C320v2","10G","1","7","11","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3374","BigRock","null","null","null","แม่ฮ่องสอน","แม่สะเรียง 1","ZTE","10.223.160.35","msn-mln-bigrock-olt02(10.223.160.35) Du La Per","C320v2","10G","2","6","11","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3375","24K","null","null","null","พะเยา","พะเยา 1","ZTE","10.223.167.109","pyo-rkn-24kolt01(10.223.167.109)","C320v2","10G","0","8","11","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3376","USO","null","null","null","พิษณุโลก","พิษณุโลก 1","ZTE","10.223.237.4","PLK_USO_OLT627_nam yang-10.223.237.4","C320v2","10G","4","4","11","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","OLT_USO_627_บ้านน้ำยาง","12","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3377","NT","null","null","null","อุทัยธานี","หนองฉาง","ZTE","10.152.69.139","un-utho-ol-z620-1","C620","10G","5","3","11","1 - 2 ปี","ไม่พบใน Mng","null","2 Slot","New Platform","null","null","no","null","null","null","null","OLT ไม่มีในข้อมูลใหม่"
"3378","24K","null","null","null","พะเยา","พะเยา 1","ZTE","10.223.167.57","pyo-hsl-24kolt01(10.223.167.57)","C320v2","10G","1","7","11","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3379","24K","null","null","null","ลำพูน","ป่าซาง","ZTE","10.223.159.50","lpn-bapu-24kolt01(10.223.159.50) Ban Pu","C320v2","10G","1","7","11","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3380","NT","Online","รอสอบถาม","null","นครสวรรค์","ชุมแสง","ZTE","10.229.69.173","NSN_NT2_WatChumSaeng_Outdoor(ER)","C620","10G","3","13","11","1 - 2 ปี","Outdoor","ER","2 Slot","New Platform","วัดชุมแสงFTTx","15","no","null","null","null","null","OLT ยังใช้"
"3381","24K","null","null","null","พิษณุโลก","นครไทย","ZTE","10.223.165.120","plk-naj-24kolt03-Ban Na jan(10.223.165.120)","C320v2","10G","0","8","11","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3382","24K","null","null","null","อุทัยธานี","หนองฉาง","ZTE","10.223.170.71","uti-rabm-24kolt05(10.223.170.71)","C320v2","10G","4","4","11","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3383","NT","Online","รอสอบถาม","null","เชียงใหม่","จอมทอง","ZTE","10.230.4.57","CMI_NT2_KP-HW_Outdoor(ZR)","C320v2","1G","3","5","11","6 - 8 ปี","Outdoor","ZR","2 Slot","-","cmi_khp12_olt01_(บ้านขุนปอน ห้วยวอก หมู่ 12)","11","no","null","null","null","null","OLT ยังใช้"
"3384","24K","null","null","null","เชียงราย","เทิง","ZTE","10.223.156.13","cri-mng15-24kolt01(10.223.156.13)","C320v2","10G","1","7","11","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3385","USO","null","null","null","เพชรบูรณ์","หล่มสัก 1","ZTE","10.223.242.13","pbn-lko-usoolt637 (10.223.242.13)","C320v2","10G","5","3","11","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","pbn-lko-usoolt637 (ห้วยลาด)","11","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3386","24K","null","null","null","เพชรบูรณ์","ศรีเทพ","ZTE","10.223.163.162","pbn-rho-24kolt01(10.223.163.162)","C320v2","10G","0","8","11","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3387","24K","null","null","null","นครสวรรค์","นครสวรรค์ 1","ZTE","10.223.162.131","nsn-ngp1-24kolt01(10.223.162.131) Nong Pling 1","C320v2","10G","1","7","10","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3388","NT","Online","รอสอบถาม","null","อุทัยธานี","หนองฉาง","Calix","10.152.112.133","NT1_โคกหม้อ","E7-2","10G","3","5","10","1 - 2 ปี","Outdoor","LR","2 Slot (Max 24 Port)","-","null","null","no","null","2569","48V 20Ah","207511277987","OLT ยังใช้"
"3389","USO","null","null","null","อุตรดิตถ์","อุตรดิตถ์ 1","ZTE","10.223.241.2","utt-npa-usoolt693(BanHuaykorm)(10.223.241.2)","C320v2","10G","4","4","10","3 - 5 ปี","ไม่พบใน Mng","null","2 Slot","-","utt-npa-USOOLT693(บ้านห้วยคอม)","10","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3390","24K","null","null","null","พะเยา","พะเยา 1","ZTE","10.223.167.50","pyo-pngn-24kolt01(10.223.167.50)","C320v2","10G","1","7","10","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3391","NT","Online","รอสอบถาม","null","ลำพูน","ลำพูน 1","ZTE","10.230.37.43","LPN_NT2_BAN PA KHAEM_10.230.37.43_Outdoor(LR)","C320v2","10G","2","6","10","3 - 5 ปี","Outdoor","LR","2 Slot","-","BanPaKhaem (บ้านป่าแขม )","11","no","null","null","null","null","OLT ยังใช้"
"3392","BigRock","null","null","null","แม่ฮ่องสอน","แม่สะเรียง 1","ZTE","10.223.160.43","msn-mln-bigrock-olt04(10.223.160.43) Dong Mai","C320v2","10G","2","6","10","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
