ID,LocationName,Latitude,Longitude,ServiceCenter,Province,Type
1022315761,kpt-kbn-24kolt01,16.28182127513,99.58245020735,DE,กำแพงเพชร,D
1022315762,kpt-pst-24kolt02,16.11001330000,99.46900460000,DE,กำแพงเพชร,D
1022315763,kpt-ptg-24kolt01,16.10507888063,99.50265560800,DE,กำแพงเพชร,C
1022315764,kpt-nsi-24kolt01,16.05838943777,99.46433166826,DE,กำแพงเพชร,D
1022315765,kpt-kun-24kolt01,16.06935570000,99.40771650000,DE,กำแพงเพชร,D
1022315766,kpt-nhn-24kolt01,16.06350206881,99.51696531849,DE,กำแพงเพชร,D
1022315767,kpt-wpu-24kolt01,16.10905564325,99.58475178490,DE,กำแพงเพชร,D
1022315768,kpt-npi-24kolt01,16.13024461340,99.59125269122,DE,กำแพงเพชร,D
1022315769,kpt-kpu-24kolt01,16.17370110000,99.32293800000,DE,กำแพงเพชร,D
102231577,kpt-sto-24kolt01,16.43914380000,99.67497080000,DE,กำแพงเพชร,D
1022315770,kpt-tke-24kolt01,16.16821530000,99.36073550000,DE,กำแพงเพชร,D
1022315771,kpt-kpa-24kolt01,16.11732230086,99.32834527036,DE,กำแพงเพชร,D
1022315772,kpt-npg-24kolt01,16.11072747519,99.39790382532,DE,กำแพงเพชร,D
1022315773,kpt-blm-24kolt01,16.18007636129,99.38401646735,DE,กำแพงเพชร,D
1022315774,kpt-kln-24kolt03,16.25218649020,99.28664744095,DE,กำแพงเพชร,D
1022315775,kpt-kpo-24kolt01,16.23737056439,99.33754582339,DE,กำแพงเพชร,D
1022315776,kpt-kln-24kolt04,16.27155827716,99.34976077116,DE,กำแพงเพชร,D
1022315777,kpt-kwg-24kolt01,16.68451122932,99.54037259689,DE,กำแพงเพชร,D
1022315778,kpt-mym-24kolt01,16.64636084389,99.50955954596,DE,กำแพงเพชร,D
1022315779,kpt-mpt-24kolt01,16.72212972487,99.54725122454,DE,กำแพงเพชร,D
102231578,kpt-skw-24kolt01,16.48346331639,99.62021525715,DE,กำแพงเพชร,D
1022315780,kpt-nke-24kolt01,16.69844876407,99.50523872884,DE,กำแพงเพชร,D
1022315781,kpt-pki-24kolt02,16.61898555742,99.54773976229,DE,กำแพงเพชร,D
1022315784,kpt-kfi-24kolt01,16.10926724952,99.83586283550,DE,กำแพงเพชร,D
1022315785,kpt-tjn-24kolt01,16.06690536881,99.90059074943,DE,กำแพงเพชร,D
1022315786,kpt-nld-24kolt01,16.09146278633,99.80822722627,DE,กำแพงเพชร,D
1022315787,kpt-bdg-24kolt01,16.11039314021,99.88326318845,DE,กำแพงเพชร,D
1022315788,kpt-ntm-24kolt01,16.12467000000,99.92656000000,DE,กำแพงเพชร,D
1022315789,kpt-ktn-24kolt01,16.11396755329,99.81291654814,DE,กำแพงเพชร,D
102231579,kpt-njk-24kolt01,16.38756649191,99.70072310208,DE,กำแพงเพชร,D
1022315790,kpt-ckg-24kolt01,16.17731100000,99.99875458456,DE,กำแพงเพชร,D
1022315791,kpt-dyn-24kolt01,16.15362377960,100.00096279657,DE,กำแพงเพชร,D
1022315792,kpt-bke-24kolt01,16.18881445014,99.97894302621,DE,กำแพงเพชร,D
1022315793,kpt-kyg-24kolt01,16.73897200000,99.62240700000,DE,กำแพงเพชร,D
1022315794,kpt-keg-24kolt01,16.67962839509,99.66139893016,DE,กำแพงเพชร,D
1022315795,kpt-kpg-24kolt01,16.60253395459,99.66571260311,DE,กำแพงเพชร,D
1022315796,kpt-wbk-24kolt01,16.70068661070,99.65878589772,DE,กำแพงเพชร,D
1022315797,kpt-wka-24kolt01,16.70651713487,99.68824430151,DE,กำแพงเพชร,D
1022315798,kpt-wpi-24kolt01,16.58521918328,99.68639830735,DE,กำแพงเพชร,D
1022315799,kpt-nhk-24kolt01,16.70712816563,99.73942745516,DE,กำแพงเพชร,D
1022324310,kpt-kln-USOOLT574SakNgam,16.32750712784,99.32126856812,NT2,กำแพงเพชร,D
